r,g,b,r_new,g_new,b_new
16,176,144,164,151,150
16,176,160,156,155,163
16,176,176,156,155,180
16,176,192,142,157,196
16,176,208,131,164,211
16,176,224,131,164,226
16,176,240,94,166,241
16,192,0,199,160,49
16,192,16,201,159,52
16,192,32,201,160,36
16,192,48,201,160,63
16,192,64,198,159,76
16,192,80,197,160,91
16,192,96,197,160,107
16,192,112,190,162,120
16,192,128,189,164,136
16,192,144,189,164,150
16,192,160,176,167,165
16,192,176,176,167,178
16,192,192,173,169,197
16,192,208,146,173,213
16,192,224,146,172,227
16,192,240,150,176,241
16,208,0,233,171,49
16,208,16,230,171,71
16,208,32,229,171,89
16,208,48,229,171,70
16,208,64,229,171,89
16,208,80,225,173,115
16,208,96,225,173,112
16,208,112,225,173,120
16,208,128,225,173,137
16,208,144,219,177,156
16,208,160,218,178,167
16,208,176,218,178,183
16,208,192,208,182,201
16,208,208,201,182,213
16,208,224,201,181,227
16,208,240,192,188,242
16,224,0,226,183,49
16,224,16,230,183,71
16,224,32,229,183,88
16,224,48,229,183,69
16,224,64,229,183,83
16,224,80,225,184,115
16,224,96,225,184,113
16,224,112,225,186,123
16,224,128,219,187,149
16,224,144,219,187,156
16,224,160,218,192,168
16,224,176,218,192,185
16,224,192,208,192,196
16,224,208,201,195,214
16,224,224,201,195,227
16,224,240,192,198,242
16,240,0,247,194,114
16,240,16,243,194,99
16,240,32,244,194,91
16,240,48,244,194,109
16,240,64,242,195,117
16,240,80,243,196,111
16,240,96,243,196,131
16,240,112,239,197,140
16,240,128,239,197,147
16,240,144,242,199,156
16,240,160,234,202,173
16,240,176,234,202,187
16,240,192,236,205,198
16,240,208,225,209,216
16,240,224,225,209,229
16,240,240,217,208,241
32,0,0,21,26,0
32,0,16,21,26,17
32,0,32,12,30,30
32,0,48,12,30,45
32,0,64,12,30,62
32,0,80,0,63,81
32,0,96,0,63,97
32,0,112,0,63,112
32,0,128,0,93,127
32,0,144,0,93,142
32,0,160,0,93,155
32,0,176,0,93,168
32,0,192,0,118,182
32,0,208,0,118,194
32,0,224,0,118,204
32,0,240,0,139,213
32,16,0,41,31,0
32,16,16,39,32,16
32,16,32,32,34,35
32,16,48,32,34,46
32,16,64,12,40,62
32,16,80,18,57,81
32,16,96,18,57,97
32,16,112,0,73,113
32,16,128,0,83,127
32,16,144,0,83,142
32,16,160,0,101,156
32,16,176,0,101,170
32,16,192,0,110,182
32,16,208,0,125,194
32,16,224,0,125,205
32,16,240,0,133,214
